Unnamed: 0,country,year,population,yearly_%_change,migrants,median_age,fertility_rate,density(P/Km²),urban_pop_%,rank
1253,51,2016,5497713,0.3,14000.0,42.6,1.72,18,85.4,116
2379,98,2018,538127,0.98,-2957.0,25.8,2.99,170,67.9,194
879,33,2015,23226143,2.5,-16000.0,18.3,4.95,73,49.2,56
2509,103,2000,17711927,2.73,-10000.0,17.6,5.85,23,29.7,53
1634,67,1990,4955303,2.97,-14800.0,16.9,5.37,44,40.5,104
2874,119,1955,2086247,0.83,-2465.0,19.5,6.24,5,2.2,113
377,15,2018,11485044,2.77,-2000.0,18.4,5.15,102,47.3,78
1500,61,2019,167294,0.92,-506.0,30.3,2.42,310,94.8,191
3495,145,1965,3133150,1.96,0.0,19.0,6.75,5,9.1,102
420,16,1990,530804,2.71,319.0,18.1,5.9,14,16.6,162
3424,141,1960,117849,2.93,630.0,18.3,6.4,4,5.8,174
2453,101,2015,626956,0.09,-622.0,37.7,1.71,47,65.9,166
950,37,2016,1170187,0.79,5000.0,35.4,1.37,127,66.9,158
3802,161,1955,55322,3.22,-269.0,17.2,7.3,77,15.5,190
2171,89,1995,13475400,3.05,-1900.0,17.2,6.1,23,25.8,62
2942,123,1975,33970724,0.8,-34181.0,28.6,2.23,111,55.3,24
2783,115,1965,3724463,0.78,-455.0,34.1,2.9,10,57.6,86
21,1,2017,2884169,-0.08,-14000.0,35.2,1.69,105,60.3,140
2738,114,2015,2079328,0.08,-1771.0,37.4,1.5,82,57.4,146
3836,163,1965,4547941,1.71,-28499.0,17.5,6.99,29,39.7,79
868,32,1980,2389977,2.68,3485.0,20.5,3.7,47,43.1,129
583,23,1980,4157298,2.35,-30058.0,17.4,7.4,162,4.3,103
2162,89,2020,27691018,2.68,-1500.0,19.6,4.11,48,38.5,51
1141,46,1960,255333,1.26,0.0,22.4,5.65,9,25.5,165
3801,161,1960,61577,2.17,-937.0,17.3,7.3,86,17.6,191
828,31,2005,3622775,2.98,10297.0,18.9,4.85,11,62.6,128
705,27,1990,2806734,2.0,-16000.0,18.1,5.9,5,38.6,129
242,9,1985,6666447,1.62,-20314.0,22.8,3.3,81,53.5,84
3653,154,1985,10648632,3.58,-17400.0,15.6,6.77,58,47.9,57
2132,88,2010,507889,2.1,8456.0,38.9,1.62,196,88.5,170
258,10,1995,280184,1.8,-64.0,25.0,2.64,28,81.0,176
373,14,1960,92064,2.88,-549.0,17.8,6.55,4,54.0,179
2211,91,1975,12162187,2.4,-27061.0,18.6,4.72,37,37.7,49
3493,145,1975,3941618,2.44,5000.0,18.0,6.9,6,9.0,102
1754,71,2016,36610632,2.92,7834.0,20.2,4.13,84,71.2,37
2882,120,2005,5824096,1.81,-9430.0,21.7,3.24,15,57.3,103
2618,108,1990,170336,1.78,-98.0,23.3,3.12,9,59.4,183
2745,114,1980,1924197,1.31,-2950.0,25.9,2.54,76,53.5,134
3329,138,1990,4319762,2.57,12549.0,18.0,6.72,60,33.2,112
252,10,2017,381755,1.01,1000.0,31.1,1.8,38,85.9,177
172,6,1975,2832759,2.33,17281.0,21.8,3.04,99,63.6,118
817,30,1970,230054,2.09,-1100.0,17.7,7.05,124,19.4,171
2321,95,1960,850384,2.87,-320.0,17.8,6.71,1,6.9,142
2744,114,1985,1981534,0.59,-14550.0,27.6,2.45,79,55.7,137
1130,46,2015,1168568,4.37,18000.0,22.1,4.99,42,71.0,157
1235,50,2016,872399,0.43,-6202.0,27.1,2.79,48,56.9,161
2909,121,1960,10155015,2.77,-3900.0,18.2,6.95,8,46.4,40
3864,165,2005,4754646,1.03,-25177.0,23.0,2.76,10,47.1,114
3377,139,2015,5435611,0.12,2269.0,39.2,1.38,113,53.9,117
1120,45,1975,4154692,2.49,-18195.0,17.4,5.95,201,41.5,98
3299,136,1960,7556727,0.87,-10011.0,27.9,2.57,86,29.1,58
824,31,2017,5110695,2.6,-4000.0,19.0,4.65,15,68.4,119
2010,82,1995,2508480,-1.2,-23295.0,36.2,1.63,40,68.8,135
