,country,year,population,yearly_%_change,migrants,median_age,fertility_rate,density(P/Km²),urban_pop_%,rank
13,0,1975,12689160,2.58,-4000.0,17.3,7.45,19,13.5,48
14,0,1970,11173642,2.33,-4000.0,17.9,7.45,17,11.6,48
15,0,1965,9956320,2.05,-4000.0,18.4,7.45,15,9.9,48
16,0,1960,8996973,1.7,-4000.0,18.8,7.45,14,8.4,48
17,0,1955,8270991,1.3,-4000.0,19.2,7.45,13,7.1,48
18,1,2020,2877797,-0.11,-14000.0,36.4,1.62,105,63.5,140
19,1,2019,2880917,-0.06,-14000.0,35.2,1.69,105,62.5,140
20,1,2018,2882740,-0.05,-14000.0,35.2,1.69,105,61.4,140
21,1,2017,2884169,-0.08,-14000.0,35.2,1.69,105,60.3,140
22,1,2016,2886438,-0.14,-14000.0,35.2,1.69,105,59.2,141
23,1,2015,2890513,-0.39,-27318.0,34.9,1.71,105,58.1,141
25,1,2005,3086810,-0.27,-35355.0,29.1,1.95,113,46.6,134
26,1,2000,3129243,0.1,-35921.0,27.0,2.38,114,41.6,131
28,1,1990,3286073,2.05,-20.0,24.0,3.15,120,36.4,125
29,1,1985,2969672,2.05,-20.0,22.8,3.41,108,35.0,125
30,1,1980,2682690,2.15,-20.0,21.4,3.9,98,33.7,125
31,1,1975,2411732,2.32,-20.0,20.2,4.6,88,32.7,126
32,1,1970,2150707,2.55,-20.0,19.6,5.26,78,31.7,125
33,1,1965,1896171,2.99,-20.0,19.7,6.23,69,31.2,127
34,1,1960,1636090,2.87,-20.0,20.2,6.55,60,30.7,124
35,1,1955,1419994,2.37,-20.0,20.6,6.23,52,26.9,127
39,2,2017,41389189,2.07,-10000.0,27.7,2.98,17,71.9,33
40,2,2016,40551392,2.07,-10000.0,27.7,2.98,17,71.6,33
41,2,2015,39728025,2.0,-28654.0,27.5,2.96,17,71.1,33
44,2,2000,31042235,1.54,-32883.0,21.7,2.89,13,60.2,34
45,2,1995,28757785,2.23,-25736.0,19.4,4.12,12,56.3,34
46,2,1990,25758869,2.8,-18660.0,18.0,5.3,11,52.4,33
47,2,1985,22431502,3.14,-16204.0,17.1,6.32,9,48.3,35
50,2,1970,14464985,2.88,-24267.0,16.4,7.65,6,39.7,36
52,2,1960,11057863,2.5,-38371.0,17.8,7.38,5,30.7,37
88,3,2020,32866272,3.27,6413.0,16.7,5.55,26,66.7,44
89,3,2019,31825295,3.3,6413.0,16.4,5.91,26,66.1,45
90,3,2018,30809787,3.33,6413.0,16.4,5.91,25,65.4,45
91,3,2017,29816766,3.38,6413.0,16.4,5.91,24,64.8,45
92,3,2016,28842489,3.44,6413.0,16.4,5.91,23,64.1,46
97,3,1995,13945206,3.31,28562.0,16.1,7.1,11,45.2,60
104,3,1960,5454933,1.58,-34577.0,20.2,6.5,4,10.8,68
105,3,1955,5043247,2.09,0.0,19.6,6.0,4,9.0,68
123,4,2020,97929,0.84,0.0,34.0,2.0,223,26.2,201
124,4,2019,97118,0.86,0.0,32.8,2.0,221,26.3,201
125,4,2018,96286,0.9,0.0,32.8,2.0,219,26.3,201
126,4,2017,95426,0.95,0.0,32.8,2.0,217,26.4,201
127,4,2016,94527,1.03,0.0,32.8,2.0,215,26.5,201
128,4,2015,93566,1.23,189.0,32.6,2.0,213,26.7,201
129,4,2010,88028,1.56,377.0,31.1,2.0,200,28.2,201
130,4,2005,81465,1.39,50.0,29.5,2.16,185,32.0,201
131,4,2000,76016,2.05,494.0,28.1,2.2,173,35.3,202
132,4,1995,68670,1.89,446.0,26.5,2.09,156,36.4,203
133,4,1990,62528,0.24,-578.0,25.2,2.07,142,37.8,202
134,4,1985,61786,-0.03,-753.0,23.1,2.14,140,39.6,203
135,4,1980,61865,-0.26,-886.0,21.0,2.24,141,41.1,200
136,4,1975,62675,-0.47,-1404.0,19.0,3.26,142,39.1,197
